"norad_id","epoch","bstar","mean_motion","mean_motion_dot","eccentricity","perigee_km","apogee_km","semi_major_axis_km","source_group"
24285,"2026-08-29 19:21:30.921+00",0.00024798,11.837046,3.238e-05,0.1731902,346.13458,3163.174,8132.7915,"spacetrack"
24286,"2026-08-22 09:18:04.88+00",0.00042994,12.02741,6.187e-05,0.1648438,342.15512,2995.0684,8046.7485,"spacetrack"
24286,"2026-08-23 13:14:51.564+00",0.00044211,12.027555,6.361e-05,0.1648396,342.1344,2994.9585,8046.6836,"spacetrack"
24286,"2026-08-24 03:13:14.325+00",0.00047107,12.027638,6.774e-05,0.1648358,342.13428,2994.8853,8046.647,"spacetrack"
24286,"2026-08-25 13:09:16.61+00",0.00049098,12.02783,7.06e-05,0.1648296,342.1126,2994.7356,8046.561,"spacetrack"
24286,"2026-08-26 13:06:27.478+00",0.00051659,12.027967,7.425e-05,0.1648237,342.1089,2994.6167,8046.5,"spacetrack"
24286,"2026-08-27 13:03:37.284+00",0.00056488,12.028107,8.116e-05,0.1648183,342.10074,2994.5012,8046.438,"spacetrack"
24286,"2026-08-28 20:59:48.748+00",0.00054666,12.028272,7.853e-05,0.1648101,342.10522,2994.3494,8046.3643,"spacetrack"
24286,"2026-08-29 12:57:53.764+00",0.0005683,12.028366,8.161e-05,0.164804,342.1191,2994.2512,8046.3223,"spacetrack"
25520,"2026-08-22 03:07:13.69+00",0.00031575,16.148056,0.00443668,0.0002918,231.76366,235.62233,6611.83,"spacetrack"
25520,"2026-08-23 22:06:25.246+00",0.00031035,16.164381,0.00490373,0.0003176,227.14195,231.33896,6607.3774,"spacetrack"
25520,"2026-08-24 21:48:14.853+00",0.00030303,16.174377,0.00515324,0.0003326,224.32129,228.7147,6604.655,"spacetrack"
25520,"2026-08-25 22:57:55.738+00",0.00030817,16.185955,0.00571237,0.000355,221.02443,225.7115,6601.505,"spacetrack"
25520,"2026-08-26 22:37:46.746+00",0.00030047,16.197617,0.00608836,0.0003832,217.67055,222.72751,6598.336,"spacetrack"
25520,"2026-08-27 23:45:12.02+00",0.00031282,16.211275,0.00708935,0.0004192,213.72795,219.25688,6594.6294,"spacetrack"
25520,"2026-08-28 23:22:43.756+00",0.0003308,16.225838,0.00843128,0.0004433,209.62433,215.46764,6590.683,"spacetrack"
25520,"2026-08-29 22:58:46.527+00",0.00034503,16.245043,0.01031918,0.000447,204.40712,210.29454,6585.488,"spacetrack"
28222,"2026-08-22 05:21:10.695+00",0.00059667,15.991593,0.0028768,0.0001192,275.9566,277.54315,6654.8867,"spacetrack"
28222,"2026-08-23 15:53:07.433+00",0.00060845,16.000198,0.00307988,0.0001769,273.18683,275.54047,6652.5005,"spacetrack"
28222,"2026-08-24 05:23:33.892+00",0.00051365,16.003536,0.00264957,0.0002502,271.7743,275.10275,6651.5757,"spacetrack"
28222,"2026-08-25 15:53:50.626+00",0.0005957,16.013391,0.00325222,0.0002597,268.9825,272.43594,6648.846,"spacetrack"
28222,"2026-08-26 05:23:37.06+00",0.00058161,16.017218,0.00324662,0.0002962,267.68134,271.61948,6647.7876,"spacetrack"
28222,"2026-08-27 17:22:05.106+00",0.00065646,16.02748,0.00389272,0.0004259,263.9827,269.64285,6644.9497,"spacetrack"
28222,"2026-08-28 17:20:17.76+00",0.00057777,16.034266,0.00356647,0.0004558,261.90958,267.9654,6643.0747,"spacetrack"
28222,"2026-08-29 21:47:14.767+00",0.0006788,16.044973,0.00446714,0.0005008,258.65616,265.3069,6640.1187,"spacetrack"
28485,"2026-08-22 18:18:28.366+00",0.00046312,15.754584,0.00075345,0.0001888,342.05795,344.59598,6721.464,"spacetrack"
28485,"2026-08-23 14:03:42.565+00",0.00045582,15.755777,0.00074551,0.0001742,341.81686,344.1585,6721.1245,"spacetrack"
